Customer,DBA Name,TDLR Number,City,State,Zip code
77002,No results,,,,
A&R BRAKE SERVICE LLC,KAR CARRIEGE TRANSMISSION,006583164C,HOUSTON,TX,77021
IMPERIAL TRANSPORT LLC,IMPERIAL TOWING,006552449C,HOUSTON,TX,77021
J&N TOWING AND TRANSPORT LLC,,006570303C,HOUSTON,TX,77021
MARY'S TOWING & RECOVERY INC,,006622335C,HOUSTON,TX,77021
ADAM & BROS INC,PREMIER AUTO SERVICES,006587558C,JERSEY VILLAGE,TX,77040
B & B VEHICLE STORAGE LLC,B & B VEHICLE STORAGE,006503229C,HOUSTON,TX,77040
IRON EAGLE TOWING,IRON EAGLE TOWING,006472624C,HOUSTON,TX,77040
JACARAH GROUP LLC,TOW-OPS WRECKER SERVICE,006569482C,HOUSTON,TX,77040
JADE VIP TRANSPORT LLC,,006617811C,HOUSTON,TX,77040
MATCH TOWING & TRANSPORTATION LLC,,006627400C,HOUSTON,TX,77040
77059,No results,,,,
77078,No results,,,,
77098,No results,,,,
77384,No results,,,,
SAMPSON TOWING LLC,SAMPSON TOWING,006597556C,SUGAR LAND,TX,77479
HOUSTON CENTRAL TOWING LLC,,006600148C,SUGAR LAND,TX,77479
HTX SHINE & DETAIL LLC,MAVERICK TOW SERVICE,006619372C,SUGAR LAND,TX,77479
IMPERIAL RECOVERY SERVICE,I R SERVICES,005590151C,SUGAR LAND,TX,77479
KAREN MILLER,LC TOWING,006581792C,SUGAR LAND,TX,77479
BOYLE HEIGHTS TOWING LLC,,006621114C,GALENA PARK,TX,77547
"MORENO'S DIESEL, LLC",,006624427C,GALENA PARK,TX,77547
ROCKET TOWING,,006328509C,GALENA PARK,TX,77547
ROY GILLIE,GILLIE'S WRECKER SERVICE,005007638C,GALENA PARK,TX,77547
77003,No results,,,,
ADRIAN HERNANDEZ,N.V'S AUTO TRANSPORT,006619383C,HOUSTON,TX,77022
GUTI'S TOWING & RECOVERY LLC,GUTI'S TOWING & RECOVERY LLC,006594523C,HOUSTON,TX,77022
JORGE MARTINEZ,N/A,006400882C,HOUSTON,TX,77022
OSCAR'S WRECKER SERVICE,,005570308C,HOUSTON,TX,77022
RAUL MONTELONGO,ROY'S WRECKER SERVICE,005005068C,HOUSTON,TX,77022
HAWARA AUTO WRECKER,,005149362C,HOUSTON,TX,77041
HOUSTON AUTO TECH INC.,,005317647C,HOUSTON,TX,77041
SABAH WAELI,FIREBALL TOWING,006593212C,HOUSTON,TX,77041
SAM'S TOWING & RECOVERY LLC,,006624677C,HOUSTON,TX,77041
WALTER RIVERA,B.A.K.W.B. CORPORATION,006446835C,HOUSTON,TX,77041
YIELD TRANSPORT INC,,006557502C,HOUSTON,TX,77041
ALLAN WRECKER LLC,,006607793C,HOUSTON,TX,77060
ARTURO JR WRECKER,,006169339C,HOUSTON,TX,77060
GASPAR CARBAJAL,,006315738C,HOUSTON,TX,77060
ISMAEL CASTREJON,CASTREJON'S WRECKER SERVICE,006553820C,HOUSTON,TX,77060
JUAN SAUL CORNEJO,JSC TOWING,006611006C,HOUSTON,TX,77060
PR TOWING TX LLC,PR TOWING,006596154C,HOUSTON,TX,77060
ROBERTO TREJO,U & M,006617681C,HOUSTON,TX,77060
TONY'S AUTO M,,005806047C,HOUSTON,TX,77060
FOX TOWING AND RECOVERY LLC,,006563709C,HOUSTON,TX,77079
PRO WRECKER ENTERPRISES LLC,ALFA TOWING,006460905C,HOUSTON,TX,77079
SIBERIA HOUSTON LNA LLC,EXPRO AUTO TOWING,006334280C,HOUSTON,TX,77079
"SIBERIA HOUSTON LNA, LLC",EXPRO AUTO COLLISION & REPAIR CENTER,006264656C,HOUSTON,TX,77079
AUTUMN A SALIH,LAMM TOWING,006455061C,HOUSTON,TX,77099
DIRON INVESTMENTS LLC,CARWASH & AUTO CENTER,006621064C,HOUSTON,TX,77099
ROBERTO DAVALOS,ROBERTO'S TOWING,006624637C,HOUSTON,TX,77099
RUDY GUZMAN,HOUSTON TEXAS TOWING,006538315C,HOUSTON,TX,77099
"A PLUS TOWING, LLC",A PLUS STORAGE/BIG OAKS STORAGE,005940489C,CONROE,TX,77385
CFM TOWING LLC,,006580171C,CONROE,TX,77385
LARRY WAYNE COOKSEY,WAYNES 1ST USA INVESTMENTS,005635927C,CONROE,TX,77385
RICKEY SNIDER DBA RICKEY'S WRECKER SERVI,,005036979C,CONROE,TX,77385
SOUTH COUNTY WRECKER SERVICE LLC,QUIK TOW WRKR & SOUTH CNTY WRKER & STOR,006484013C,CONROE,TX,77385
"WCS LEASING, LLC",MARS RECOVERY,006448676C,CONROE,TX,77385
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER SERVICE,005697854C,HOCKLEY,TX,77484
GASOLINO'S LLC,GASOLINO'S TRANSPORTATION,006602280C,WALLER,TX,77484
"MACARIO, INC",RELFECTIONS PAINT & BODY,006323099C,WALLER,TX,77484
PD TOWING OF HOUSTON LLC,PD TOWING OF HOUSTON,006553860C,WALLER,TX,77484
"C&G GARCIA TRANSPORTATION, LLC",,006594793C,LA PORTE,TX,77571
JUMPMAN TOWING LLC,,006489578C,LA PORTE,TX,77571
THOMASON TOWING,,006085503C,LA PORTE,TX,77571
77004,No results,,,,
A. MARTINEZ WRECKER SERVICE LLC,,006590061C,HOUSTON,TX,77023
JONNY DELGADO,HTX PRO TOWING & RECOVERY,006616572C,HOUSTON,TX,77023
JOSE G LUNA,RECOVERY SOLUTIONS,006616802C,HOUSTON,TX,77023
JULIO MOSCOSO,JULIO'S TOWING & TRANSPORTATION,006583694C,HOUSTON,TX,77023
AMIR A ANGHA,3A SERVICES,006004336C,HOUSTON,TX,77042
DELGADO TOWING LLC,,006623647C,HOUSTON,TX,77042
JUAN WILMER CACERES RIVAS,WJ TOWING SERVICES,006626489C,HOUSTON,TX,77042
OMAR REYES,,006478459C,HOUSTON,TX,77042
SAHID ZAHER,S&E AUTO TRANSPORTATION,006625698C,HOUSTON,TX,77042
WAHSH ENTERPRISES LLC,SWIFT AUTO TOWING,006626879C,HOUSTON,TX,77042
ALEJANDRO CARS & TRUCKS INC,,006437888C,HOUSTON,TX,77061
ARMANDO GALINDO PEREZ,A & SONS WRECKER SERVICE,006606202C,HOUSTON,TX,77061
LINARES AUTO SERVICE LLC,,006629141C,HOUSTON,TX,77080
MEREJILDO VASQUEZ,BLUE EAGLE TOWING,006581752C,HOUSTON,TX,77080
STEIN AUTO REPAIR LLC,STEIN AUTO REPAIR,006624377C,HOUSTON,TX,77080
YUN WAN GIM,JD TOWING 2,006488066C,HOUSTON,TX,77080
77204,No results,,,,
DISCOUNT QUALITY CAR CARE,,006418056C,SPRING,TX,77386
"MILSTEAD AUTOMOTIVE, LTD",MILSTEAD AUTOMOTIVE,0000039048,SPRING,TX,77386
R & A TOWING LLC,,006555151C,SPRING,TX,77386
UNIQUE TOWING & TRANSPORT LLC,,006522603C,SPRING,TX,77386
77489,No results,,,,
ACTION RECOVERY INC,,006495982C,LEAGUE CITY,TX,77573
ACTION TOWING INC,,005075583C,LEAGUE CITY,TX,77573
BARTON FERDINAND,,006628861C,LEAGUE CITY,TX,77573
BAYTOWN WRECKER SERVICE INC,BAYTOWN COLLISION CENTER,006503369C,LEAGUE CITY,TX,77573
CLASSIC TRANSPORT,,005165714C,LEAGUE CITY,TX,77573
"GOLDENLINE TOWING, INC.",,006587468C,LEAGUE CITY,TX,77573
GULF COAST AUTO & TRUCK,GULF COAST AUTO & TRUCK REPAIR INC,006418906C,LEAGUE CITY,TX,77573
KDF RECOVERY LLC,,006625258C,LEAGUE CITY,TX,77573
LEAGUE CITY TOWING INC,,006477639C,LEAGUE CITY,TX,77573
M&M TOWING TRANSPORTATION & STORAGE LLC,,006628791C,LEAGUE CITY,TX,77573
MATTHEW DEWITT,DEWITT WRECKER,006270536C,LEAGUE CITY,TX,77573
SILVERLINE TRANSPORTATION INC,,006583534C,LEAGUE CITY,TX,77573
"STAMPEDE TOWING, INC.",,006102874C,LEAGUE CITY,TX,77573
V&R TOWING INC,,006558312C,LEAGUE CITY,TX,77573
77005,No results,,,,
FAST LINK TOWING INC,,006587298C,HOUSTON,TX,77024
NORTH AMERICA RSA INC,,006581272C,HOUSTON,TX,77024
MAYA'S TOWING LLC,,006607753C,HOUSTON,TX,77043
MOMEN ABURUB,HAYA EXPRESS TOWING,006584485C,HOUSTON,TX,77043
PEDRO D. HERNANDEZ,YAMIS TOWING,006180150C,HOUSTON,TX,77043
REYES TOWING,VICTOR M REYES,006485594C,HOUSTON,TX,77043
77062,No results,,,,
JONATHAN ALARCON,JON'S WRECKER SERVICE,006504670C,HOUSTON,TX,77081
